source_row_index,place_id,custom_id,embedding_row,has_embedding,embedding_text_hash,error,usage_total_tokens
29,ChIJq_dIwSX-sUARq4VV9lHH778,location_29_ChIJq_dIwSX-sUARq4VV9lHH778,29,True,f3a2af9a89b15cd9206124271dd8b9c65b4820855006564a0db3a75e6745d941,,596
30,ChIJDb7FSSn5sUARRhwXqqgy6i8,location_30_ChIJDb7FSSn5sUARRhwXqqgy6i8,30,True,70d3a892ec35c1691a1c9efe676cf03a82cabdfd315c7ef5ef150c578e165d5c,,568
31,ChIJexeFnvADskARTEkhKthe6uM,location_31_ChIJexeFnvADskARTEkhKthe6uM,31,True,11a72f111cd5bd0b4d8433821219dd6cfaf0f9f71059205c492a3e0ef0ce76e8,,426
32,ChIJ5cQSv8X_sUART3znhMJSbxg,location_32_ChIJ5cQSv8X_sUART3znhMJSbxg,32,True,75b919b395fa53fc6bfbce956ce3ad41f35d918b31db5b872515574a19d53c59,,509
33,ChIJ7ziBMQD5sUARKIKAxAToq4o,location_33_ChIJ7ziBMQD5sUARKIKAxAToq4o,33,True,4f2896fd3f937d9feb7a01ea1d38e7a7be496aae3352d34184f9902cd3e2aa98,,457
34,ChIJDbB2fwD5sUARA0tzf1ROHsI,location_34_ChIJDbB2fwD5sUARA0tzf1ROHsI,34,True,2d5d9292a77e48a3b7d9b4e5ff31cbf6cf47f0d6b5a65834a28bf04c86382909,,481
35,ChIJ_UPmbgD5sUAR243GCAnqkao,location_35_ChIJ_UPmbgD5sUAR243GCAnqkao,35,True,c9e176a856f71b0256abbc40151b084ed3d5141a4f011915ba3c4afb0ea9bdc3,,370
36,ChIJbXGmGgADskARBA1WrUIjA0M,location_36_ChIJbXGmGgADskARBA1WrUIjA0M,36,True,01d793eddc633584bc77d70eafb07288102700dabede32d3a27fbada639cf8cc,,499
37,ChIJexdIEKv_sUARDN8MxAqDp44,location_37_ChIJexdIEKv_sUARDN8MxAqDp44,37,True,0b1affbc2d34417b8883676bbddddca2a15a6ca70f9720807a17d8e0ec945124,,467
38,ChIJ-8G11WQBskARxO2etgqCSyg,location_38_ChIJ-8G11WQBskARxO2etgqCSyg,38,True,8e0096e8ac9c7f552d74b203ae548edc111b5401e66acdce51a2fd4c5202a041,,507
39,ChIJGRiVhegBskARtlkOQKXJvS8,location_39_ChIJGRiVhegBskARtlkOQKXJvS8,39,True,6b893e2c0fec2d4d2ab899588f9234cd85912a08eff8c4d3e3adc36be25c0b04,,517
40,ChIJeZvIKQD5sUARJ8fMvHawklw,location_40_ChIJeZvIKQD5sUARJ8fMvHawklw,40,True,0a120310818cc00fe65d2ca5d8eb25e4ac35af8533d17942e195224d1be09d23,,429
41,ChIJf1tmztX_sUARmcprdP-QEas,location_41_ChIJf1tmztX_sUARmcprdP-QEas,41,True,7cdec4a0ffe4914cd55206845aba6fa9a378598355582ce566e165e7174a944f,,509
42,ChIJLZA9YQABskARAgTb03Z2tXk,location_42_ChIJLZA9YQABskARAgTb03Z2tXk,42,True,82fa7fa4070b5818047fac742c20f3b15a3adaf718312c8c863dcf9a5d5bbcae,,521
43,ChIJ--A8YwD5sUARyxAtFlE89T0,location_43_ChIJ--A8YwD5sUARyxAtFlE89T0,43,True,3b25a59e3611c28a71be7a006594f62d229623c2184654d6c5da68b056b4918c,,455
44,ChIJ2fcE30kBskARghhfLiWKCso,location_44_ChIJ2fcE30kBskARghhfLiWKCso,44,True,3208fd1b5611227d4d51f9c65cc11308658f90bd0b836876a79cb169cbffd009,,555
45,ChIJ5ZMaro0BskAR_h5p9_hdkII,location_45_ChIJ5ZMaro0BskAR_h5p9_hdkII,45,True,311019ad45f63818b18d65cadbe18e4b847e2574a3dc2d21851109f6ebbfe483,,507
46,ChIJ6UtylToBskARrpfPCjaGpdw,location_46_ChIJ6UtylToBskARrpfPCjaGpdw,46,True,4d5124b125c14676225625874bcac7afd9b3225b5a27946bb8d86e0692a9c5ce,,484
47,ChIJ7RrlJ7H_sUARDHqGq5g6lx8,location_47_ChIJ7RrlJ7H_sUARDHqGq5g6lx8,47,True,eb0be511802de8da197c997eee801612435cd3e1a047a9fdd241639104e5fa15,,565
48,ChIJ829BxB4BskAR97rrN47loVo,location_48_ChIJ829BxB4BskAR97rrN47loVo,48,True,fb6f657b765854c843fcb8935931b42c6793c114ea96f4310414bcf9cf43351a,,475
49,ChIJ8aSYx5P_sUARSd1UklX-0T8,location_49_ChIJ8aSYx5P_sUARSd1UklX-0T8,49,True,4d311d1fc54f0402eb08444e39dc3f83e2a7849819fa85cdee027e112f7cdd3c,,503
50,ChIJ8ft1_Ir_sUARBIiqIHaEz_U,location_50_ChIJ8ft1_Ir_sUARBIiqIHaEz_U,50,True,349cf3deaa6fd8da21841ad5bc0cb1f1f72ebbc6b7fdfc59ffb57883e14a3a1b,,527
51,ChIJ9XmqMhEDskARQEV9g3I0WcM,location_51_ChIJ9XmqMhEDskARQEV9g3I0WcM,51,True,2faf6fc0ed3a8ddb82dafe4355e023a3888bdd0a208e1edb10b321225f8be8ee,,516
52,ChIJA-63b7v4sUARKCbMrOHvc_0,location_52_ChIJA-63b7v4sUARKCbMrOHvc_0,52,True,a6b871c8787ac39f7b46fdae2dff0a384f24a959b97178a09da76872209c35e4,,490
53,ChIJAQDQDEYCskAR4YWUICeZeVI,location_53_ChIJAQDQDEYCskAR4YWUICeZeVI,53,True,86ee6121ff2e625905a208816dbb692d5484dfd3e93db6e94b543836a9622df2,,490
54,ChIJAYPXybX_sUARvkBEcVV6dWQ,location_54_ChIJAYPXybX_sUARvkBEcVV6dWQ,54,True,1df16ecb37bb2c78a0787373afc0cb80702fa724941ccdf9add6371d693938b2,,524
